RollVelocity , FinalVel2
0 , -nan
3.50829e-10 , -0.0108304
3.50829e-10 , -0.0108088
3.50829e-10 , -0.0108253
3.50829e-10 , -0.0108444
1.75414e-10 , -0.0108088
1.75414e-10 , -0.0108131
1.75414e-10 , -0.0108273
1.75414e-10 , -0.0108325
1.75414e-10 , -0.0108142
8.77072e-11 , -0.0108271
8.77072e-11 , -0.0108371
8.77072e-11 , -0.0108217
8.77072e-11 , -0.0108304
8.77072e-11 , -0.0108057
4.38536e-11 , -0.0108291
4.38536e-11 , -0.0108359
4.38536e-11 , -0.0108175
4.38536e-11 , -0.0108273
4.38536e-11 , -0.0108183
2.19268e-11 , -0.0108534
2.19268e-11 , -0.0108088
2.19268e-11 , -0.0108237
2.19268e-11 , -0.0108209
2.19268e-11 , -0.0108186
1.09634e-11 , -0.010866
1.09634e-11 , -0.010785
1.09634e-11 , -0.0108444
1.09634e-11 , -0.0108023
1.09634e-11 , -0.0108555
5.4817e-12 , -0.0108033
5.4817e-12 , -0.010824
5.4817e-12 , -0.0108175
5.4817e-12 , -0.0108271
5.4817e-12 , -0.0108369
2.74085e-12 , -0.0108619
2.74085e-12 , -0.0108023
2.74085e-12 , -0.0108023
2.74085e-12 , -0.0108325
2.74085e-12 , -0.0108152
1.37042e-12 , -0.0108338
1.37042e-12 , -0.0108186
1.37042e-12 , -0.010826
1.37042e-12 , -0.0108369
1.37042e-12 , -0.0108436
6.85212e-13 , -0.0107946
6.85212e-13 , -0.0108273
6.85212e-13 , -0.0108454
6.85212e-13 , -0.0108002
6.85212e-13 , -0.0108315
3.42606e-13 , -0.0108186
3.42606e-13 , -0.010826
3.42606e-13 , -0.0108294
3.42606e-13 , -0.0109138
3.42606e-13 , -0.0107935
1.71303e-13 , -0.010785
1.71303e-13 , -0.0108477
1.71303e-13 , -0.0107904
1.71303e-13 , -0.0108219
1.71303e-13 , -0.0108186
8.56516e-14 , -0.0108498
8.56516e-14 , -0.0108057
8.56516e-14 , -0.0108562
8.56516e-14 , -0.010783
8.56516e-14 , -0.0108684
4.28258e-14 , -0.0108131
4.28258e-14 , -0.0108064
4.28258e-14 , -0.0108544
4.28258e-14 , -0.0108119
4.28258e-14 , -0.0108013
2.14129e-14 , -0.0108575
2.14129e-14 , -0.0108023
2.14129e-14 , -0.0108552
2.14129e-14 , -0.0108023
2.14129e-14 , -0.0108328
1.07064e-14 , -0.0108173
1.07064e-14 , -0.0108294
1.07064e-14 , -0.0108413
1.07064e-14 , -0.0107969
1.07064e-14 , -0.0108304
5.35322e-15 , -0.0108165
5.35322e-15 , -0.0108206
5.35322e-15 , -0.0108477
5.35322e-15 , -0.010799
5.35322e-15 , -0.010823
2.67661e-15 , -0.0108294
2.67661e-15 , -0.0108175
2.67661e-15 , -0.0108237
2.67661e-15 , -0.0108121
2.67661e-15 , -0.01085
1.33831e-15 , -0.0108206
1.33831e-15 , -0.0108271
1.33831e-15 , -0.0108131
1.33831e-15 , -0.0108338
1.33831e-15 , -0.0108315
6.69153e-16 , -0.0108162
6.69153e-16 , -0.010825
6.69153e-16 , -0.0108371
6.69153e-16 , -0.0108186
6.69153e-16 , -0.0108227
3.34576e-16 , -0.0108328
3.34576e-16 , -0.0108119
3.34576e-16 , -0.010825
3.34576e-16 , -0.0108359
3.34576e-16 , -0.0108165
1.67288e-16 , -0.010825
1.67288e-16 , -0.0108304
1.67288e-16 , -0.0108477
1.67288e-16 , -0.0108023
1.67288e-16 , -0.010826
8.36441e-17 , -0.0108609
